V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,uid,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q3,Q4,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q8,Q9,Q10,Q11,Q57_4,Q59,Q12,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q17_1,Q17_2,Q17_3,Q17_4,Q18,Q15_1,Q15_2,Q15_3,Q15_4,Q16,Q77,Q78_1,Q78_2,Q78_3,Q78_4,Q79,Q80_1,Q80_2,Q80_3,Q80_4,Q81,Q82_1,Q82_2,Q82_3,Q82_4,Q83,Q19,Q20_1,Q20_2,Q20_3,Q20_4,Q21,Q24_1,Q24_2,Q24_3,Q24_4,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q27,Q28_1,Q28_2,Q28_3,Q28_4,Q29,Q33,Q34_4,Q35_4,Q36_4,Q37_4,Q30,Q31_4,Q32_4,Q38,Q39_4,Q40_4,Q41_1,Q41_2,Q41_3,Q41_4,Q42,Q43,Q44,Q72,Q73,Q68_1,Q68_2,Q68_3,Q68_4,Q68_5,Q68_6,Q68_7,Q68_8,Q68_9,Q68_10,Q45_1,Q45_2,Q45_3,Q45_4,Q46,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q48,Q49_1,Q49_2,Q49_3,Q49_4,Q49_5,Q49_6,Q49_7,Q49_8,Q49_9,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q51_7,Q52_1,Q52_2,Q52_3,Q52_4,Q76,Q53_1,Q54,Q55,Q56,Q58,Q62,Q63,Q60,Q84_1,Q84_2,Q84_3,Q84_4,Q85,Q61_1,Q70_1,DO-BR-FL_4,DO-BL-Publicsectorattitudes,DO-BL-Specificfacilities(OUTCOME),LocationLatitude,LocationLongitude,LocationAccuracy
R_DkqK3Ea9PbkgZfr,Default Response Set,Anonymous,,,149.88.58.3,0,15/12/2015 10:04,15/12/2015 10:15,1,5331093,1,10.147,19.17,19.965,6,1,4,4,4,2.254,17.865,19.243,5,1,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.298,6.691,7.93,2,5,2.414,4.048,5.232,2,4,2.551,4.742,5.78,2,1,3.603,37.156,38.377,17,1,,4,3,5,5,1,4,4,1,4,4,3.292,33.001,33.869,9,2,1,2,1,1,,1,,,,,,,,,4.686,60.031,61.188,12,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.679,379.004,386.277,15,1,40,7,1,2,הוד השרון,2,1,ידע לגבי תשתיות,7.556,15.152,16.181,4,1,8,4,Figures (TREATMENT),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q37|Q35|Q36|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.24890137,34.84320068,-1
R_RCEjm3LBDSYbdxT,Default Response Set,Anonymous,,,82.80.222.172,0,15/12/2015 10:12,15/12/2015 10:17,1,5330933,1,21.965,27.817,29.49,3,1,1,4,2,3.911,31.088,31.979,9,1,3,2,2,2,1,1,4.947,4.947,7.001,1,2,7.648,7.648,9.092,1,3,9.92,9.92,30.752,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.239,28.378,29.461,9,1,,2,2,2,3,1,4,1,1,8,8,25.533,53.362,54.552,7,3,4,2,1,1,1,,,,,,,,,,9.795,28.871,29.771,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,5.038,29.139,38.099,9,1,32,8,4,1,כפר סבא,2,1,אמון וזיהוי של גופים ציבוריים ,6.916,10.482,11.377,2,1,8,3,Figures (CONTROL),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.96420288,34.80439758,-1
R_yqMwsJUy17BEenn,Default Response Set,Anonymous,,,37.117.209.30,0,14/12/2015 14:43,15/12/2015 10:18,1,5331058,1,13.509,37.568,38.788,7,1,4,5,5,3.26,52.34,53.957,13,1,4,4,4,5,2,,,,,,,,,,,,,,,,,1,3.058,10.645,12.635,3,2,5.065,9.485,10.633,3,3,8.875,10.411,11.703,2,5,,,,,,,,,,,,,,,,,4.908,65.568,66.951,18,1,,2,8,5,3,1,6,7,1,7,7,122.484,162.812,164.117,9,3,4,2,1,1,,,,,,,,,,,3.78,24.736,25.899,6,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,5.365,23.777,25.942,5,1,42,8,2,2,רעננה ,2,1,"אין לי מושג יותר ממה שכתבתם , וגם שום רצון לשער ... ",69352.01,69373.436,69374.816,8,1,8,6,Figures (PLACEBO),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q36|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,41.8946991,12.48390198,-1
R_stBGvtX79uLwEYV,Default Response Set,Anonymous,,,132.70.66.10,0,15/12/2015 10:14,15/12/2015 10:21,1,5343373,1,7.601,24.46,25.649,5,1,3,4,5,9.149,56.304,58.322,8,1,3,3,3,6,5,,,,,,,,,,,,,,,,,1,3.669,3.669,5.135,1,2,4.875,4.875,5.77,1,5,5.947,5.947,6.879,1,5,,,,,,,,,,,,,,,,,8.01,42.486,43.085,9,1,,4,4,3,2,1,5,5,1,6,6,3.891,44.578,63.567,8,2,1,2,1,2,,,,,,,,,,,7.469,28.074,28.926,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.863,42.291,143.432,8,1,28,8,1,2,גבעתיים,2,1,רמת שביעות הרצון מחברות ציבוריות בישראל (על פי משתנים דמורפיים). ,28.804,40.152,43.027,2,1,9,4,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q34|Q36|Q35|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.08059692,34.81419373,-1
R_3MzpeVVcfsVVldE,Default Response Set,Anonymous,,,213.57.127.42,0,15/12/2015 10:14,15/12/2015 10:22,1,5342192,1,11.394,27.841,28.802,4,1,4,4,6,4.079,24.606,26.579,5,1,4,4,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8.704,8.704,10.481,1,5,4.978,4.978,7.673,1,3,1.658,1.658,3.409,1,1,27.36,63.715,66.194,11,1,,6,5,6,5,1,6,4,1,5,,7.793,133.872,136.993,10,2,1,3,1,1,,1,,,,,,,,,2.955,32.533,33.574,7,1,,,,,,,,,1,2,,1,,,,,,,,1,,,,,,,1,2.96,71.565,73.245,12,1,35,8,5,1,הרצליה,2,1, רמת התשתיות בארץ,7.79,14.424,15.74,4,1,8,4,Figures (TREATMENT),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q36|Q37|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.15080261,34.88830566,-1
R_29mHsT0zYquL0bm,Default Response Set,Anonymous,,,185.3.146.185,0,15/12/2015 10:20,15/12/2015 10:27,1,5342745,1,12.275,24.343,27.085,3,1,3,4,5,8.131,33.191,36.067,6,1,4,4,3,5,5,1,8.223,8.223,11.143,1,5,6.906,6.906,9.172,1,3,5.044,5.044,6.589,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.575,50.174,52.549,12,1,,4,4,6,5,1,4,4,1,7,,5.644,30.785,65.16,5,2,1,2,1,1,,,,,,,,,,,8.287,30.436,34.199,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,6.433,49.321,74.624,8,1,22,4,4,2,ראשון לציון,2,1,את שביעות רצון האזרחים מתשתיות במדינה,17.3,25.218,27.634,2,1,7,4,Figures (CONTROL),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q37|Q36|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_5ip0obux3ri2U25,Default Response Set,Anonymous,,,87.69.52.90,0,15/12/2015 10:25,15/12/2015 10:31,1,5342919,1,9.933,20.669,21.378,3,1,2,3,4,4.222,25.52,26.639,5,1,1,1,1,4,2,,,,,,,,,,,,,,,,,1,5.196,9.891,11.107,2,1,5.819,5.819,7.058,1,3,6.057,6.057,7.058,1,4,,,,,,,,,,,,,,,,,4.438,6.445,10.49,2,1,,6,6,6,4,1,7,7,1,7,7,4.943,35.015,35.962,7,1,6,2,1,1,,,1,,,,,,,,103.758,118.447,119.786,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.346,33.657,65.595,8,1,29,7,4,2,ראשון לציון,2,1,"את שביעות רצון הציבור מנותני השירותים עליהם נשאלתי או על תפקודו של שר התחבורה, האנרגיה וכו",6.159,11.975,13.006,4,1,7,5,Figures (PLACEBO),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q35|Q34|Q36|Q37|Q30|Q31|Q32|Q38|Q39|Q40,31.92640686,34.80329895,-1
R_2YhbDUfTSdSNieg,Default Response Set,Anonymous,,,193.106.52.27,0,15/12/2015 10:29,15/12/2015 10:34,1,5341331,1,10.965,19.093,20.627,3,1,5,5,5,7.278,27.948,29.238,5,1,2,2,1,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.365,3.365,5.371,1,5,4.062,4.062,5.404,1,5,2.746,2.746,4.305,1,1,6.574,43.895,47.989,9,1,,7,6,6,4,1,9,9,1,5,,4.154,29.658,48.249,5,2,1,2,1,1,,,,,,,,,,,5.059,22.658,24.427,6,2,,,,,,,,,1,2,,,,,,,,,1,1,,,,,,,1,4.356,29.586,42.441,9,1,29,7,1,2,נס ציונה,1,1,דעת הציבור על השירותים הציבוריים,22.882,29.372,30.842,2,1,8,7,Figures (TREATMENT),Q7|Q8|Q10|Q11|Q9|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q36|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_27NjZqDM0PfErQB,Default Response Set,Anonymous,,,213.8.121.82,0,15/12/2015 10:28,15/12/2015 10:36,1,5342352,1,19.617,38.521,43.075,5,1,2,3,2,13.401,47.471,49.833,5,1,4,4,4,3,2,,,,,,,,,,,,,,,,,1,4.182,4.182,6.298,1,2,5.854,5.854,7.086,1,3,7.989,7.989,9.657,1,4,,,,,,,,,,,,,,,,,13.187,45.766,47.796,9,1,,4,3,3,4,1,2,3,1,5,5,12.301,92.123,96.393,6,3,1,2,1,1,,,,,,,,,,1,7.252,29.843,31.165,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,10.141,10.141,12.609,1,1,46,5,1,1,ראשון לציון,2,1,רמת התשתיות בישראל,11.632,20.431,21.923,2,1,7,2,Figures (PLACEBO),Q7|Q8|Q9|Q11|Q10|Q57|Q59,Q28|Q29|Q33|Q37|Q35|Q36|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2tyTY37EssWJyg6,Default Response Set,Anonymous,,,212.235.31.250,0,15/12/2015 10:33,15/12/2015 10:38,1,5335599,1,9.344,18.287,19.372,3,1,4,4,5,5.182,29.786,31.183,5,1,4,3,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.454,3.454,5.151,1,2,4,4,5.234,1,3,2.236,2.236,3.285,1,1,5.352,31.638,32.65,9,1,,4,6,6,5,1,7,7,1,6,8,3.591,26.835,47.725,5,3,5,3,2,2,,,,,,,,,,,4.212,23.244,24.292,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,6.411,34.984,46.919,8,1,44,4,3,1,רמת השרון,2,1,התערות בחברה,6.574,11.516,12.254,2,1,8,4,Figures (TREATMENT),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q37|Q36|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.332901,34.8598938,-1
R_T61QA99n6k5EAKd,Default Response Set,Anonymous,,,5.102.224.139,0,15/12/2015 10:26,15/12/2015 10:39,1,5331158,1,253.064,262.288,263.904,3,1,2,1,3,7.065,31.398,32.394,5,1,1,1,2,2,1,,,,,,,,,,,,,,,,,1,4.409,4.409,5.212,1,2,7.331,7.331,8.191,1,3,3.648,3.648,5.261,1,1,,,,,,,,,,,,,,,,,4.106,34.513,35.25,13,1,,1,2,2,1,1,2,3,1,2,1,4.172,38.136,64.32,4,1,,2,1,3,,,,,,,,,,,5.353,51.354,59.122,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,2.872,34.201,61.466,8,1,35,7,4,1,חדרה,2,1,אמון הציבור במחלקות הנשאלות,114.427,121.954,122.732,2,1,7,3,Figures (PLACEBO),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q34|Q36|Q37|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_7Q9dDYrTPrpJ19n,Default Response Set,Anonymous,,,79.176.157.181,0,15/12/2015 10:37,15/12/2015 10:42,1,5341558,1,21.288,30.752,31.675,3,1,1,3,5,3.96,21.471,22.769,5,1,3,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17.446,17.446,18.77,1,1,4.641,4.641,5.425,1,5,3.821,3.821,4.726,1,1,3.524,3.524,5.798,1,1,,7,5,4,5,1,2,2,1,7,7,14.35,52.143,53.356,7,2,1,1,1,1,1,,,,,,,,,,2.578,19.874,21.436,7,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,2.099,28.754,65.165,9,1,40,5,2,2,ראשון לציון,1,1,"רמת שביעות רצון  בתחום תשתיות , תחבורה , גז ומים",4.977,10.097,10.884,2,1,9,3,Figures (TREATMENT),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2zuvHWsd6jTWqky,Default Response Set,Anonymous,,,212.68.138.74,0,15/12/2015 10:38,15/12/2015 10:43,1,5331120,1,15.651,21.314,26.819,3,1,4,5,6,14.893,35.566,37.122,6,1,4,5,5,7,2,1,6.16,6.16,9.394,1,2,4.66,4.66,5.832,1,5,3.395,3.395,4.653,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.993,34.271,35.664,11,1,,8,8,9,8,1,8,8,1,9,8,5.156,37.301,38.219,6,1,1,2,1,1,,,1,,,,,,,,6.923,27.734,28.846,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,3.389,34.986,46.127,8,1,36,7,4,1,הרצליה,2,2,שביעות רצ מהשרותים,9.114,11.489,12.781,2,1,9,10,Figures (CONTROL),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q34|Q37|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_273xSVYK72ooKBv,Default Response Set,Anonymous,,,79.179.2.210,0,15/12/2015 10:04,15/12/2015 10:46,1,5341535,1,1998.307,2013.662,2015.086,5,1,5,2,1,7.387,21.73,23.052,5,1,4,4,4,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4.465,9.855,10.592,3,4,6.493,6.493,7.244,1,3,1.44,1.44,2.179,1,1,3.775,21.582,22.986,9,1,,1,5,2,3,1,3,3,1,8,8,3.131,17.813,34.792,6,1,6,2,1,1,,,,,,,,,,,3.617,12.959,14.002,6,1,,,,,,,,,1,2,,,,,,,,,1,2,,,,,,,1,4.287,25.899,32.661,8,1,32,8,3,1,מודיעין,2,1,שביעות רצון,2.201,2.201,2.824,1,1,9,1,Figures (TREATMENT),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q34|Q35|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3Rr6CMWErAd3Lty,Default Response Set,Anonymous,,,199.203.61.113,0,15/12/2015 10:39,15/12/2015 10:46,1,5342917,1,10.924,30.582,31.961,4,1,4,6,5,6.096,20.654,23.861,5,1,4,4,4,9,5,,,,,,,,,,,,,,,,,1,12.349,31.563,32.467,2,5,4.015,22.596,23.388,3,2,6.403,6.403,8.557,1,4,,,,,,,,,,,,,,,,,10.178,54.088,56.479,8,1,,6,7,8,6,1,8,7,1,7,,7.701,23.399,45.663,5,2,1,3,1,1,,,,,,,,,,,11.155,29.616,30.902,6,1,,,,,,,,,1,2,,,1,,,,,,,1,,,,,,,1,3.095,44.647,121.535,11,1,30,6,3,2,ראשון לציון,2,2,עד כמה התשובות שלי מושפעות מהמיקום ההתחלתי של הסמן על הציר ומסדר התשובות.,9.537,24.519,27.859,3,1,4,3,Figures (PLACEBO),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3loSiWe91cGJaMB,Default Response Set,Anonymous,,,192.117.163.130,0,15/12/2015 10:39,15/12/2015 10:46,1,5342954,1,8.968,15.781,17.39,3,1,6,6,6,6,61.751,33.078,8,1,5,6,5,5,1,,,,,,,,,,,,,,,,,1,8.859,8.859,10.812,1,2,8.063,8.063,9.016,1,3,6.532,6.532,8.375,1,1,,,,,,,,,,,,,,,,,4.813,37.438,39.719,10,1,,6,7,7,7,1,6,5,1,6,9,5.297,28.469,51.204,5,3,2,3,3,3,,,,,,,,,,,3.609,32.703,35.156,6,1,,,,,,,,1,,1,,,,,,,,1,,2,,,1,,,,,3.86,37.36,145.157,9,1,33,4,2,1,ראשון לציון,2,1,"רמת שביעות הרצון של אזרחי המדינה מהתשתיות שלה,לאור הבעיות שיש לאחרונה עם חברות החשמל,מים והמתווה גז שאמור להקל על הצרכנים. / כמו גם הפקקים עקב הקמת הרכבת בתל אביב",5.672,12.109,14.672,2,1,5,5,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q36|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.15080261,34.88830566,-1
R_3lWvNDGwycUW0JZ,Default Response Set,Anonymous,,,109.65.121.133,0,15/12/2015 10:46,15/12/2015 10:48,1,5341897,1,0.942,2.111,3.892,3,1,4,3,4,0.91,10.442,11.592,11,1,2,4,5,5,5,,,,,,,,,,,,,,,,,1,1.982,3.163,3.892,2,2,2.009,3.244,4.202,2,3,2.878,2.878,3.706,1,4,,,,,,,,,,,,,,,,,1.579,16.111,16.879,7,1,,8,4,4,6,1,4,4,1,7,3,3.192,12.448,13.277,7,2,1,1,1,2,,,,,,1,,,,,2.6,11.994,12.754,8,1,,,,,,,,1,,1,,,,,,,,,1,1,,,,,,,1,1.372,31.744,32.528,29,1,19,4,3,2,ראשון לציון,2,1, / ,0.881,1.666,2.242,2,1,4,4,Figures (PLACEBO),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_vek0m0x7hcvx9oR,Default Response Set,Anonymous,,,84.95.255.130,0,15/12/2015 10:46,15/12/2015 10:51,1,5341890,1,6.655,17.21,17.978,4,1,5,3,4,5.494,26.689,27.735,5,1,5,4,5,5,2,1,2.947,2.947,4.551,1,2,4.839,5.497,6.313,2,5,11.078,11.078,11.582,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.127,26.127,30.706,1,1,,3,4,7,5,1,5,5,1,6,6,5.528,34.795,35.463,6,2,1,2,1,1,,1,,,,,,,,,3.695,36.682,37.303,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,6.924,40.259,50.973,8,1,24,6,2,2,ראשון לציון,2,1,מעורבות ודעות אישיות בנושא חברה-כלכלה,0,0,2.73,0,1,10,1,Figures (CONTROL),Q7|Q8|Q11|Q9|Q10|Q57|Q59,Q28|Q29|Q33|Q35|Q36|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,31.5,34.75,-1
R_ulFCwj9wqWtzLeV,Default Response Set,Anonymous,,,62.168.56.1,0,15/12/2015 10:44,15/12/2015 10:53,1,5341670,1,4.981,11.549,12.762,3,1,5,4,5,5.264,21.982,22.894,5,1,3,3,3,7,2,1,4.607,4.607,5.689,1,2,3.493,3.493,4.936,1,3,3.084,3.084,4.068,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.849,36.101,37.005,9,1,,4,7,7,3,1,7,7,1,5,4,4.909,153.702,155.034,6,3,1,3,3,3,,,1,,,,,,,,3.522,22.289,23.147,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,4.283,137.243,144.694,8,1,44,7,5,1,modiin,1,1,???,8.091,13.89,14.56,2,1,7,3,Figures (CONTROL),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q36|Q35|Q34|Q30|Q31|Q32|Q38|Q39|Q40,50.08329773,14.41670227,-1
R_XBewugZlB9Pgh33,Default Response Set,Anonymous,,,82.80.132.248,0,15/12/2015 10:32,15/12/2015 10:55,1,5342894,1,44.027,987.577,988.423,3,1,2,5,7,27.73,54.242,55.538,8,1,4,3,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13.741,13.741,15.144,1,5,11.603,11.603,14.389,1,3,2.65,2.65,3.574,1,1,11.425,11.425,12.913,1,1,,6,7,7,6,1,7,6,1,8,9,4.733,39.732,42.339,8,1,6,2,1,1,,,,,,,,,,,7.168,45.23,46.134,6,1,,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,1,2.055,41.752,46.104,8,1,30,7,2,1,בת ים,2,1,,20.121,29.432,30.304,3,1,10,3,Figures (TREATMENT),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q35|Q36|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2OZNcnPWspeHjCl,Default Response Set,Anonymous,,,31.168.200.70,0,15/12/2015 10:52,15/12/2015 10:57,1,5342844,1,10.364,25.924,26.65,4,1,2,3,3,7.436,35.733,36.179,7,1,4,3,3,9,2,,,,,,,,,,,,,,,,,1,5.439,5.439,9.138,1,2,4.789,4.789,5.585,1,3,2.098,2.098,2.822,1,3,,,,,,,,,,,,,,,,,12.675,50.874,52.423,10,1,,5,4,5,5,1,4,5,1,1,1,4.167,48.543,49.197,5,1,,3,1,1,,,,,,1,,,,,3.991,24.623,27.196,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,3.771,33.354,34.751,8,1,30,7,2,1,ראשון לציון,2,1,,36.991,39.631,40.251,2,1,6,6,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q37|Q34|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_1pYUfN00sHuCu2I,Default Response Set,Anonymous,,,79.177.56.89,0,15/12/2015 10:52,15/12/2015 10:58,1,5341566,1,11.74,25.257,26.66,3,1,4,4,5,9.151,30.884,32.354,6,1,4,3,4,6,2,1,6.263,6.263,8.188,1,2,2.937,4.419,7.52,2,3,5.688,5.688,7.017,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.862,49.564,50.675,9,1,,8,4,4,8,1,4,4,1,7,7,7.121,32.668,52.835,5,3,3,3,3,3,,,,,,,,,,,6.468,24.847,26.696,3,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,3.84,84.062,105.437,10,1,37,7,1,2,"ראשל""צ",1,1,רמת השירות של גופים בישראל,11.066,21.581,22.672,2,1,5,2,Figures (CONTROL),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q36|Q35|Q34|Q37|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_a96gM5CLbixDAEV,Default Response Set,Anonymous,,,109.64.114.210,0,15/12/2015 10:52,15/12/2015 10:59,1,5330678,1,9.738,20.035,22.15,4,1,3,2,2,82.768,107.798,112.997,6,1,3,4,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.39,10.741,11.856,3,2,5.868,5.868,8.963,1,3,4.233,4.233,5.756,1,1,5.221,46.88,47.8,9,1,,3,5,3,5,1,6,5,1,7,6,11.371,46.709,47.631,6,2,1,2,2,1,,,1,,,,,,,,3.226,29.059,31.727,6,1,,,,,,,,,1,1,,,,,,,,,1,2,,1,,,,,,5.077,66.566,107.056,12,1,23,3,3,2,הרצליה,2,1,"האם תושבי מדינת ישראל מרוצים כיום מרמת השירות, האחזקה וכיוצא בכך בתחומי הגז, החשמל, התחבורה ושאר התשתיות הפועלות.",10.441,20.904,21.386,4,1,8,9,Figures (TREATMENT),Q7|Q8|Q11|Q10|Q9|Q57|Q59,Q28|Q29|Q33|Q36|Q37|Q34|Q35|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_2akUCUr1xNxXQmG,Default Response Set,Anonymous,,,192.114.87.2,0,15/12/2015 11:01,15/12/2015 11:07,1,5341416,1,6.778,15.677,16.663,3,1,2,2,4,10.443,30.829,31.706,5,1,2,2,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.472,9.472,10.71,1,2,5.183,5.183,6.605,1,3,1.868,1.868,2.89,1,1,3.768,41.59,43.471,9,1,,3,2,7,2,1,3,4,1,7,2,3.795,44.296,46.001,7,2,1,2,1,1,,1,,,,,,,,,50.766,82.12,84.5,9,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,6.293,31.71,48.359,8,1,31,7,2,1,ראשון לציון,1,1,רמת שביעות רצון בנושא תשתיות לאומיות ,1.812,1.812,2.782,1,1,4,1,Figures (TREATMENT),Q7|Q8|Q10|Q9|Q11|Q57|Q59,Q28|Q29|Q33|Q35|Q37|Q34|Q36|Q30|Q31|Q32|Q38|Q39|Q40,32.06669617,34.76669312,-1
R_3lxAR6fKK2l2vqg,Default Response Set,Anonymous,,,87.69.125.147,0,15/12/2015 11:07,15/12/2015 11:12,1,5342338,1,7.508,15.048,16.961,3,1,3,3,4,4.27,27.667,29.343,8,1,2,2,1,3,5,,,,,,,,,,,,,,,,,1,18.471,18.471,20,1,5,4.918,4.918,6.157,1,5,5.289,5.289,7.48,1,3,,,,,,,,,,,,,,,,,14.74,14.74,19.58,1,1,,6,5,5,5,1,3,4,1,5,,4.003,19.015,36.143,5,1,6,1,1,1,,,,,,,,,,,3.895,19.254,21.549,4,1,,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,5.83,36.383,48.883,9,1,54,8,4,1,נס ציונה,2,1,שביעות רצון מתשתיות במשק,7.943,14.477,15.879,2,1,9,2,Figures (PLACEBO),Q7|Q8|Q9|Q10|Q11|Q57|Q59,Q28|Q29|Q33|Q37|Q34|Q35|Q36|Q30|Q31|Q32|Q38|Q39|Q40,31.92640686,34.80329895,-1
